first_frame,class_name,tracker_id,class_count,confidence,x1,y1,x2,y2
1,car,1,1,0.82829916,1111,272,1365,665
1,motorcycle,2,1,0.7943859,577,327,885,714
1,person,3,1,0.7846693,579,243,877,681
1,car,4,2,0.6901956,395,410,448,457
1,car,5,3,0.48115245,299,417,337,443
1,person,6,2,0.38449982,466,372,533,516
1,car,7,4,0.3548097,238,408,301,447
4,car,8,5,0.5378747,1124,371,1216,533
9,car,9,6,0.33515093,318,424,343,448
12,car,10,7,0.54281515,815,376,915,485
13,car,11,8,0.47240835,372,405,453,450
15,truck,12,1,0.38654858,1265,283,1366,682
16,truck,1,2,0.6327658,1178,277,1366,697
17,car,12,9,0.40619102,1274,289,1366,702
20,car,13,10,0.6200748,1318,356,1366,630
20,person,14,3,0.41825372,470,338,586,572
33,car,15,11,0.4672926,1182,313,1349,405
36,motorcycle,16,2,0.39066073,450,377,551,544
37,truck,15,3,0.30053043,1112,319,1274,407
39,person,17,4,0.5057365,492,341,548,479
41,bus,18,1,0.4246718,240,347,302,414
47,motorcycle,19,3,0.41384178,497,387,551,492
58,car,20,12,0.40246442,429,398,479,441
72,car,21,13,0.46927616,1083,361,1172,400
90,person,22,5,0.3725947,573,294,906,526
93,motorcycle,23,4,0.37588173,224,489,333,665
96,car,24,14,0.49414644,366,472,424,510
97,person,25,6,0.35461846,245,426,351,545
97,person,26,7,0.441462,554,431,619,579
98,motorcycle,27,5,0.5350518,560,489,624,605
108,person,28,8,0.3962954,623,283,838,480
118,person,29,9,0.5116046,630,290,863,690
127,motorcycle,30,6,0.32683393,223,465,365,674
